run_ts,processed_at,lat_ms,mode,freq_mhz,snr_sp_raw,rel_sp_float,snr_lp_raw,rel_lp_float,bw_correction,source_bw_hz,mode_bw_hz,path_km_sp,path_km_lp,engine,foF2,MUFD,noise_floor_dbw,tx_power_w,ant_tx,ant_rx,dropped_sp,dropped_lp
2025-09-11T00:01:00Z,2025-09-11T00:01:26Z,393,SSB,14.287,17,69,-21,0,0,,2400,15767.128273,24307.871727,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:26Z,424,SSB,14.287,-4,0,-39,0,0,,2400,9244.2323,30830.7677,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:26Z,384,SSB,14.287,11,25,-56,0,0,,2400,9327.243822,30747.756178,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:26Z,420,SSB,14.287,-1,0,-41,0,0,,2400,10563.170806,29511.829194,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,592,CW,14.034,36,100,0,0,0,,250,5522.321807,34552.678193,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,723,CW,14.034,5,82,-30,0,0,,250,10296.416348,29778.583652,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,755,CW,14.034,-16,0,0,77,0,,250,10861.387722,29213.612278,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,553,CW,14.034,-14,0,20,100,0,,250,14792.717385,25282.282615,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,675,CW,14.034,-3,65,0,0,0,,250,8190.125124,31884.874876,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,588,CW,14.034,-25,0,4,83,0,,250,12087.741964,27987.258036,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,588,CW,14.034,-3,64,-21,0,0,,250,9308.57862,30766.42138,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,605,CW,14.034,-11,7,1,78,0,,250,10416.68532,29658.31468,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,768,CW,14.034,7,85,-36,0,0,,250,9777.118781,30297.881219,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,905,CW,14.034,-3,64,9,91,0,,250,9704.480139,30370.519861,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,227,CW,14.034,-5,59,0,0,0,,250,7953.67075,32121.32925,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,233,CW,14.034,50,100,0,0,0,,250,2500.067975,37574.932025,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,403,CW,14.034,27,100,-12,8,0,,250,15767.128273,24307.871727,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,411,CW,14.034,9,85,-33,0,0,,250,10563.170806,29511.829194,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,417,CW,14.034,6,84,-31,0,0,,250,9244.2323,30830.7677,ITURHFProp,,,,100,,,,
2025-09-11T00:01:00Z,2025-09-11T00:01:31Z,402,CW,14.034,21,99,-49,0,0,,250,9327.243822,30747.756178,ITURHFProp,,,,100,,,,
2025-09-11T00:02:00Z,2025-09-11T00:02:25Z,704,CW,21.02,60,100,0,0,0,,250,3750.235261,36324.764739,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-11T00:02:00Z,2025-09-11T00:02:25Z,669,CW,21.02,35,100,38,100,0,,250,9622.479057,30452.520943,ITURHFProp,,,,100,,,,
2025-09-11T00:02:00Z,2025-09-11T00:02:25Z,576,CW,21.02,37,100,0,0,0,,250,940.778855,39134.221145,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-11T00:02:00Z,2025-09-11T00:02:25Z,631,CW,21.02,40,100,38,100,0,,250,14862.780438,25212.219562,ITURHFProp,,,,100,,,,
2025-09-11T00:02:00Z,2025-09-11T00:02:25Z,591,CW,21.02,42,100,0,0,0,,250,8141.661249,31933.338751,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-11T00:02:00Z,2025-09-11T00:02:25Z,605,CW,21.02,60,100,0,0,0,,250,5680.263423,34394.736577,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-11T00:02:00Z,2025-09-11T00:02:25Z,724,CW,21.02,7,87,23,99,0,,250,9865.132608,30209.867392,ITURHFProp,,,,100,,,,
2025-09-11T00:02:00Z,2025-09-11T00:02:25Z,591,CW,21.02,-22,0,0,0,0,,250,8152.73162,31922.26838,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-11T00:02:00Z,2025-09-11T00:02:25Z,655,CW,21.02,-12,8,22,100,0,,250,9246.342076,30828.657924,ITURHFProp,,,,100,,,,
2025-09-11T00:02:00Z,2025-09-11T00:02:25Z,743,CW,21.02,7,88,23,99,0,,250,9130.165307,30944.834693,ITURHFProp,,,,100,,,,
2025-09-11T00:02:00Z,2025-09-11T00:02:26Z,269,CW,21.02,46,100,0,0,0,,250,6048.145423,34026.854577,ITURHFProp,,,,100,,,,lp_selective_blocked
2025-09-11T00:02:00Z,2025-09-11T00:02:26Z,417,CW,21.02,-2,69,23,100,0,,250,9417.461332,30657.538668,ITURHFProp,,,,100,,,,
2025-09-11T00:02:00Z,2025-09-11T00:02:26Z,409,CW,21.02,31,100,21,100,0,,250,10758.288222,29316.711778,ITURHFProp,,,,100,,,,
2025-09-11T00:02:00Z,2025-09-11T00:02:26Z,411,CW,21.02,27,100,25,100,0,,250,11961.756054,28113.243946,ITURHFProp,,,,100,,,,
2025-09-11T00:02:00Z,2025-09-11T00:02:26Z,427,CW,21.02,14,96,24,100,0,,250,9352.877693,30722.122307,ITURHFProp,,,,100,,,,
2025-09-11T00:02:00Z,2025-09-11T00:02:26Z,423,CW,21.02,37,100,43,100,0,,250,11999.943488,28075.056512,ITURHFProp,,,,100,,,,
